epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,687.206,0.99105,3.81197,0.89983,0.07251,0.16784,0.06489,0.05102,0.86151,4.36107,0.87461,0.000105245,0.000105245,0.000105245
60,691.561,0.95289,3.78699,0.91572,0.06834,0.17266,0.06809,0.05363,0.85535,4.34088,0.87478,0.000105915,0.000105915,0.000105915
61,696.407,0.95681,3.64455,0.89992,0.06834,0.17266,0.06809,0.05363,0.85535,4.34088,0.87478,0.000106546,0.000106546,0.000106546
62,700.697,0.96683,3.71612,0.93607,0.07922,0.19548,0.07256,0.0569,0.85813,4.32389,0.87559,0.000107138,0.000107138,0.000107138
63,705.045,1.03436,3.63909,0.93376,0.07922,0.19548,0.07256,0.0569,0.85813,4.32389,0.87559,0.000107691,0.000107691,0.000107691
64,709.399,0.9498,3.64289,0.90285,0.07634,0.21259,0.07451,0.05839,0.86613,4.30162,0.87684,0.000108206,0.000108206,0.000108206
65,713.497,0.90751,3.62468,0.9061,0.07634,0.21259,0.07451,0.05839,0.86613,4.30162,0.87684,0.000108681,0.000108681,0.000108681
66,717.803,0.96354,3.57536,0.91843,0.08534,0.24945,0.08237,0.06422,0.88251,4.27303,0.87993,0.000109118,0.000109118,0.000109118
67,722.033,0.95762,3.63397,0.89668,0.08534,0.24945,0.08237,0.06422,0.88251,4.27303,0.87993,0.000109516,0.000109516,0.000109516
68,726.2,0.89885,3.63947,0.90491,0.08169,0.27644,0.08701,0.06789,0.88384,4.23555,0.87902,0.000109875,0.000109875,0.000109875
69,730.251,0.90096,3.4759,0.90678,0.08169,0.27644,0.08701,0.06789,0.88384,4.23555,0.87902,0.000110196,0.000110196,0.000110196
70,734.553,0.97039,3.55658,0.90639,0.07811,0.30948,0.10027,0.07805,0.87871,4.18995,0.87695,0.000110478,0.000110478,0.000110478
71,738.84,0.9064,3.49779,0.90507,0.07811,0.30948,0.10027,0.07805,0.87871,4.18995,0.87695,0.00011072,0.00011072,0.00011072
72,744.209,0.93388,3.36758,0.93851,0.07781,0.3337,0.11044,0.0863,0.87272,4.14167,0.87616,0.000110924,0.000110924,0.000110924
73,751.521,0.89363,3.39279,0.89874,0.07781,0.3337,0.11044,0.0863,0.87272,4.14167,0.87616,0.00011109,0.00011109,0.00011109
74,759.082,0.96677,3.529,0.92005,0.07769,0.36921,0.12065,0.09473,0.8529,4.09127,0.87469,0.000111216,0.000111216,0.000111216
75,765.323,0.90223,3.41716,0.89189,0.07769,0.36921,0.12065,0.09473,0.8529,4.09127,0.87469,0.000111304,0.000111304,0.000111304
76,771.876,0.91417,3.46337,0.90896,0.07783,0.42179,0.13445,0.10562,0.82741,4.03946,0.87153,0.000111352,0.000111352,0.000111352
77,778.157,0.94369,3.31538,0.90285,0.07783,0.42179,0.13445,0.10562,0.82741,4.03946,0.87153,0.000111362,0.000111362,0.000111362
78,784.472,0.9548,3.37361,0.90847,0.07453,0.43435,0.14571,0.11494,0.81296,3.98619,0.87073,0.000111334,0.000111334,0.000111334
79,790.501,0.91416,3.36794,0.8984,0.07453,0.43435,0.14571,0.11494,0.81296,3.98619,0.87073,0.000111266,0.000111266,0.000111266
80,796.733,0.89021,3.35187,0.91026,0.07267,0.447,0.16256,0.12745,0.80904,3.93806,0.86991,0.00011116,0.00011116,0.00011116
81,803.001,0.86623,3.13161,0.90456,0.07267,0.447,0.16256,0.12745,0.80904,3.93806,0.86991,0.000111014,0.000111014,0.000111014
82,809.421,0.95185,3.25753,0.89711,0.07287,0.4775,0.1754,0.13704,0.80648,3.89068,0.86947,0.00011083,0.00011083,0.00011083
83,815.456,0.90929,3.30367,0.90317,0.07287,0.4775,0.1754,0.13704,0.80648,3.89068,0.86947,0.000110608,0.000110608,0.000110608
84,822.049,0.95315,3.30571,0.91137,0.06882,0.4776,0.18475,0.14557,0.80116,3.84767,0.86972,0.000110346,0.000110346,0.000110346
85,828.597,0.90882,3.18951,0.89814,0.06882,0.4776,0.18475,0.14557,0.80116,3.84767,0.86972,0.000110045,0.000110045,0.000110045
86,835.307,0.96161,3.20707,0.90008,0.07869,0.52689,0.19039,0.14981,0.79609,3.79663,0.87092,0.000109706,0.000109706,0.000109706
87,841.689,0.9231,3.1203,0.91571,0.07869,0.52689,0.19039,0.14981,0.79609,3.79663,0.87092,0.000109328,0.000109328,0.000109328
88,848.297,0.92111,3.17627,0.89389,0.08695,0.59251,0.20473,0.16056,0.79189,3.74988,0.87081,0.000108911,0.000108911,0.000108911
89,854.875,0.88083,3.15303,0.88793,0.08695,0.59251,0.20473,0.16056,0.79189,3.74988,0.87081,0.000108455,0.000108455,0.000108455
90,861.356,0.90044,3.11007,0.89801,0.08396,0.61435,0.21047,0.16444,0.79288,3.69447,0.86984,0.000107961,0.000107961,0.000107961
91,867.852,0.87623,2.94138,0.89334,0.08396,0.61435,0.21047,0.16444,0.79288,3.69447,0.86984,0.000107428,0.000107428,0.000107428
92,874.531,0.92789,3.03768,0.8961,0.07967,0.61891,0.21857,0.17136,0.7891,3.64088,0.86783,0.000106855,0.000106855,0.000106855
93,880.918,0.88372,2.99559,0.90701,0.07967,0.61891,0.21857,0.17136,0.7891,3.64088,0.86783,0.000106245,0.000106245,0.000106245
94,887.397,0.89392,3.01738,0.9012,0.07695,0.62666,0.22597,0.17616,0.78153,3.58239,0.86427,0.000105595,0.000105595,0.000105595
95,893.759,0.95655,2.95296,0.89593,0.07695,0.62666,0.22597,0.17616,0.78153,3.58239,0.86427,0.000104906,0.000104906,0.000104906
96,900.289,0.93196,2.8859,0.89414,0.52557,0.35142,0.23645,0.18534,0.77872,3.52104,0.86219,0.000104179,0.000104179,0.000104179
97,906.728,0.97609,2.97343,0.88007,0.52557,0.35142,0.23645,0.18534,0.77872,3.52104,0.86219,0.000103413,0.000103413,0.000103413
98,913.212,0.8906,2.87088,0.90651,0.57715,0.22585,0.25328,0.20075,0.77608,3.45977,0.86132,0.000102608,0.000102608,0.000102608
99,919.684,0.94238,3.04065,0.8952,0.57715,0.22585,0.25328,0.20075,0.77608,3.45977,0.86132,0.000101764,0.000101764,0.000101764
100,926.245,0.95773,2.79898,0.93969,0.65896,0.19311,0.27315,0.21549,0.77346,3.41192,0.86034,0.000100881,0.000100881,0.000100881
101,932.574,0.90476,2.75471,0.90545,0.65896,0.19311,0.27315,0.21549,0.77346,3.41192,0.86034,9.996e-05,9.996e-05,9.996e-05
102,939.081,0.8783,2.80414,0.88494,0.69098,0.19586,0.29071,0.22932,0.77463,3.35687,0.85886,9.80196e-05,9.80196e-05,9.80196e-05
103,945.845,0.90209,2.89447,0.89226,0.69098,0.19586,0.29071,0.22932,0.77463,3.35687,0.85886,9.60792e-05,9.60792e-05,9.60792e-05
104,952.549,0.88634,2.80502,0.89538,0.71348,0.19684,0.30277,0.23905,0.77612,3.31063,0.85846,9.41388e-05,9.41388e-05,9.41388e-05
