epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,1313.58,0.8096,0.95446,0.92633,0.99694,1,0.995,0.85656,0.52879,0.87356,0.85954,0.0007724,0.0007724,0.0007724
64,1502.32,0.6706,0.78071,0.90071,0.99674,1,0.995,0.83803,0.5699,0.91758,0.86152,0.0007526,0.0007526,0.0007526
65,1827.11,0.71809,0.86369,0.8925,0.99369,0.5,0.495,0.43079,0.5699,0.91758,0.86152,0.0007328,0.0007328,0.0007328
66,1998.48,0.61977,0.77291,0.86371,0.99881,1,0.995,0.83597,0.56727,0.95374,0.8663,0.000713,0.000713,0.000713
67,2050.97,0.68854,0.85531,0.92665,0.99829,1,0.995,0.86128,0.52356,0.91567,0.85723,0.0006932,0.0006932,0.0006932
68,2096.87,0.64113,0.74882,0.90959,0.99792,1,0.995,0.86093,0.50966,0.84104,0.85279,0.0006734,0.0006734,0.0006734
69,2136.96,0.62035,0.72284,0.92598,0.99792,1,0.995,0.86093,0.50966,0.84104,0.85279,0.0006536,0.0006536,0.0006536
70,2180.36,0.63171,0.71122,0.91609,0.99686,1,0.995,0.86863,0.49078,0.79159,0.84809,0.0006338,0.0006338,0.0006338
71,2222.99,0.6452,0.76915,0.92306,0.99784,1,0.995,0.8803,0.47265,0.75484,0.84374,0.000614,0.000614,0.000614
72,2261.42,0.61204,0.74474,0.90201,0.99772,1,0.995,0.87809,0.47001,0.71941,0.85259,0.0005942,0.0005942,0.0005942
73,2290.82,0.63315,0.72628,0.88349,0.99772,1,0.995,0.87809,0.47001,0.71941,0.85259,0.0005744,0.0005744,0.0005744
74,2320.66,0.65076,0.75303,0.89832,0.99792,1,0.995,0.87023,0.47528,0.71314,0.85014,0.0005546,0.0005546,0.0005546
75,2346.31,0.57865,0.67506,0.90414,0.99873,1,0.995,0.89666,0.48571,0.6993,0.84485,0.0005348,0.0005348,0.0005348
76,2371.65,0.63467,0.74655,0.9243,0.99944,1,0.995,0.89302,0.50124,0.71841,0.84616,0.000515,0.000515,0.000515
77,2394.2,0.61961,0.71684,0.87658,0.99944,1,0.995,0.89302,0.50124,0.71841,0.84616,0.0004952,0.0004952,0.0004952
78,2416.92,0.56663,0.71091,0.86447,1,0.9995,0.995,0.89027,0.50303,0.72322,0.8453,0.0004754,0.0004754,0.0004754
79,2439.21,0.56695,0.71291,0.90881,1,0.999,0.995,0.89315,0.49243,0.70622,0.83774,0.0004556,0.0004556,0.0004556
80,2460.23,0.62665,0.70447,0.87835,1,0.9989,0.995,0.89998,0.45432,0.71264,0.8315,0.0004358,0.0004358,0.0004358
81,2481.61,0.51857,0.68746,0.85205,1,0.9989,0.995,0.89998,0.45432,0.71264,0.8315,0.000416,0.000416,0.000416
82,2502.04,0.54347,0.67152,0.8838,0.9997,1,0.995,0.9047,0.44022,0.70884,0.83041,0.0003962,0.0003962,0.0003962
83,2523.55,0.53697,0.7021,0.85782,0.99822,1,0.995,0.8991,0.45475,0.68434,0.83032,0.0003764,0.0003764,0.0003764
84,2544.5,0.56098,0.65112,0.87666,0.998,1,0.995,0.90574,0.42961,0.6826,0.82813,0.0003566,0.0003566,0.0003566
85,2565.41,0.54966,0.63266,0.8667,0.998,1,0.995,0.90574,0.42961,0.6826,0.82813,0.0003368,0.0003368,0.0003368
86,2585.86,0.5326,0.63065,0.88061,0.99812,1,0.995,0.91102,0.40346,0.66568,0.82687,0.000317,0.000317,0.000317
